Product,Old_Price,New_Price,Difference,Minimum_Price,Difference_Minimum,Comment,Percentage
Der_Kartograph,18.99,18.99,0.0,13.86,5.129999999999999,-,37.01
Harry_Potter_DADA,22.97,22.97,0.0,13.69,9.28,-,67.79
Andor,27.99,27.99,0.0,27.99,0.0,-,0.0
Galaxy_Tracker,35.03,30.73,-4.300000000000001,30.73,0.0,-,0.0
AirTag,32.33,32.33,0.0,31.9,0.4299999999999997,-,1.35
Castles_of_Burgundy,37.99,37.99,0.0,27.99,10.000000000000004,-,35.73
Pandemic_Iberia,39.99,39.99,0.0,39.99,0.0,-,0.0
Wingspan,39.99,39.99,0.0,39.99,0.0,-,0.0
Arkham_Horror:Dunwich-Investigators,40.16,46.98,6.82,37.07,9.909999999999997,-,26.73
Viticulture,50.99,50.99,0.0,47.9,3.0900000000000034,-,6.45
Arkham_Horror:Carcosa-Investigators,50.73,51.25,0.5200000000000031,45.66,5.590000000000003,-,12.24
Spirit_Island,51.98,51.98,0.0,51.98,0.0,-,0.0
Gloomhaven-Jaws_of_the_lion,54.92,54.92,0.0,46.39,8.530000000000001,-,18.39
Star_Wars-Outer_Rim,54.99,54.99,0.0,54.99,0.0,-,0.0
Imperium_Classics,39.34,56.28,16.939999999999998,25.19,31.09,-,123.42
Dune_Imperium,59.44,59.44,0.0,37.88,21.559999999999995,-,56.92
Marco_Polo,59.95,59.95,0.0,54.99,4.960000000000001,-,9.02
Arkham_Horror:Dunwich-Campaign,63.58,63.58,0.0,63.13,0.44999999999999574,-,0.71
Twilight_Inscription,64.71,64.71,0.0,54.3,10.409999999999997,-,19.17
7th_Continent,69.0,69.0,0.0,69.0,0.0,-,0.0
Planet_Unknown,69.99,69.99,0.0,62.4,7.589999999999996,-,12.16
Arkham_Horror:Carcosa-Capmaign,71.38,71.38,0.0,67.51,3.8699999999999903,-,5.73
Legacy_of_Dragonholt,74.88,74.88,0.0,39.64,35.239999999999995,-,88.9
Sleeping_Gods,97.99,97.99,0.0,96.09,1.8999999999999915,-,1.98
